id,real_age,user_setage,gender,playcard_level,playcard_point,playcard_coupon_num,is_push_open,utm_channel,signup_day,app_version,manufacturer,model,label,add_all_num,add_under_18_num,add_under_30_num,add_under_setage_num,view_all_num,view_under_18_num,view_under_30_num,view_under_setage_num,msg_all_num,msg_under_18_num,msg_under_30_num,msg_under_setage_num,gift_all_num,gift_under_18_num,gift_under_30_num,gift_under_setage_num
8148,0.171052632,0,0.5,0.104121475,0.777777778,0.004694836,1,0.12244898,0.165360209,0.632075472,0.928571429,1,1,0.098295455,0.082706767,0.068032787,0.080338266,0.059473732,0.059280169,0.063609821,0.052405782,0.097036607,0.066473988,0.074734209,0.037469782,0.052036872,0.033333333,0.06164828,0.021413276
9768,0.210526316,1,0.5,0.015184382,0.111111111,0,1,,0.22135125,0.575471698,0.903361345,0.982924694,1,0.184090909,0.090225564,0.078688525,0.23255814,0.184539743,0.184897671,0.157708323,0.198996766,0.087158629,0.057803468,0.027517198,0.070910556,0.059173357,0.08,0.032446463,0.079229122
7492,0.644736842,1,1,0.036876356,0.888888889,0.004694836,1,,0.024636058,0.632075472,0.903361345,0.813485114,1,0.052272727,0.030075188,0.013114754,0.065539112,0.005808978,0.008821454,0.0042598,0.006600224,0.013170637,0.020231214,0.004690432,0.012489927,0.011894142,0.02,0.00843608,0.016059957
14182,0.421052632,1,1,0,0.333333333,0.000938967,1,0.12244898,0.154535274,0.264150943,0.903361345,0.119527145,1,0.063068182,0.052631579,0.039344262,0.076109937,0.038022398,0.039520113,0.028957067,0.042241436,0.018593841,0.01734104,0.008442777,0.011684126,0.017841213,0.026666667,0.014925373,0.019271949
22743,0.210526316,1,1,0.085683297,0.555555556,0,1,0.12244898,0.151175812,0.632075472,0.415966387,0.705779335,1,0.077840909,0.015037594,0.068032787,0.027484144,0.042629518,0.010232886,0.069114057,0.00970233,0.032539221,0.005780347,0.031894934,0.006043513,0.050252751,0.04,0.063595068,0.021413276
31981,0.539473684,0,0.5,0.061822126,1,0,1,,0.571481896,0.632075472,0.903361345,0.689141856,1,0.066477273,0.060150376,0.042622951,0.054968288,0.053810434,0.057868737,0.063514096,0.046663587,0.032539221,0.037572254,0.021575985,0.019742143,0.031222123,0.033333333,0.0266061,0.028907923
31733,0.039473684,0,1,0.10845987,0.666666667,0,1,,0.232922732,0.632075472,0.903361345,0.689141856,1,0.013636364,0,0.017213115,0,0.018938359,0.008821454,0.035035658,0.00264009,0.02421073,0.002890173,0.028455285,0.001208703,0.025869759,0,0.039584685,0.006423983
22840,0.407894737,,0.5,0.01626898,1,0,1,0.12244898,0.061963419,0.20754717,0.903361345,0.689141856,1,0.017613636,0,0.012295082,0,0.006664846,0.001411433,0.010769157,0.001518052,0.002711602,0,0.001563477,0.000402901,0.007136485,0,0.011031798,0.001070664
21963,0.565789474,1,1,0.006507592,0.111111111,0,1,,0.036580814,0.575471698,0.903361345,0.003064799,1,0.002272727,0,0.002459016,0.002114165,0.000855868,0.000352858,0.001005121,0.000132004,0.000387372,0,0,0.000402901,0.001189414,0,0.000648929,0.001070664
3667,0.065789474,0,0.5,0.003253796,0.222222222,0.001877934,1,,0.202314296,0.273584906,0.903361345,0.003064799,1,0.055113636,0.037593985,0.057377049,0.010570825,0.075953747,0.041284404,0.107547983,0.046993598,0.062366841,0.037572254,0.054409006,0.025785657,0.102884329,0.113333333,0.07073329,0.147751606
18082,0.276315789,,1,0.00867679,0.444444444,0.002816901,1,,0.009705114,0.679245283,0.903361345,0.003064799,1,0.001136364,0,0.000819672,0.002114165,0.0001821,0,9.57E-05,0.000264009,0.000968429,0,0.000312695,0.001208703,0.001189414,0,0,0.003211991
11219,0.092105263,0,0.5,0.054229935,0.444444444,0,1,,0.129525943,0.20754717,0.903361345,0.241681261,1,0.207386364,0.157894737,0.146721311,0.141649049,0.069088591,0.084685956,0.079835352,0.059072008,0.07360062,0.078034682,0.052532833,0.037469782,0.035682426,0.033333333,0.029850746,0.032119914
