id,real_age,user_setage,gender,playcard_level,playcard_point,playcard_coupon_num,is_push_open,utm_channel,signup_day,app_version,manufacturer,model,label,add_all_num,add_under_18_num,add_under_30_num,add_under_setage_num,view_all_num,view_under_18_num,view_under_30_num,view_under_setage_num,msg_all_num,msg_under_18_num,msg_under_30_num,msg_under_setage_num,gift_all_num,gift_under_18_num,gift_under_30_num,gift_under_setage_num
1296,0.333333333,,0.5,0.1375,0,0,0,0.25,0.04778157,0.615384615,0.442922374,0.492982456,1,0.038678485,0.030769231,0.02300406,0.092592593,0.038427053,0.057168784,0.022601794,0.073016985,0.28079781,0.376811594,0.066236811,0.715355805,0.024105186,0.070175439,0.013347023,0.026004728
30360,0.083333333,,1,0.28125,0.666666667,0,1,0.104166667,0.076222981,0.259615385,0.269406393,0.409649123,1,0.03626108,0.092307692,0.02300406,0.069444444,0.078327142,0.088021779,0.056073154,0.093328664,0.047712163,0.043478261,0.024032825,0.071161049,0.029218408,0.052631579,0.013347023,0.030732861
30027,0.638888889,0,1,0.09375,0,0.003257329,1,,0.190747061,0.230769231,0.442922374,0.093859649,1,0.005640612,0,0.00541272,0.00462963,0.004771359,0.008166969,0.004083276,0.00245141,0.00586625,0.02173913,0.005275498,0.005617978,0.006574142,0.052631579,0.006160164,0.004728132
20910,0.222222222,0,0.5,0.05,0.666666667,0,1,0.104166667,0.18467956,0.826923077,0.397260274,0.471491228,1,0.020145044,0,0.01217862,0.032407407,0.00717305,0.008166969,0.005808604,0.007354229,0.007039499,0.014492754,0.002344666,0.013108614,0.004382761,0.01754386,0.001026694,0.007092199
1648,0.069444444,,0.5,0.06875,0.555555556,0.03257329,1,,0.004929845,0.269230769,0.397260274,0.25877193,1,0.004029009,0.015384615,0.00405954,0,0.002817984,0.001814882,0.001667817,0.003852215,0.015252249,0.014492754,0.008206331,0.018726592,0.07596786,0.052631579,0.045174538,0.035460993
23544,0.388888889,0,0.5,0.40625,0.888888889,0,1,,0.069776261,0.634615385,0.488584475,0.997368421,1,0.693795326,0.261538462,0.787550744,0.305555556,0.179038043,0.165154265,0.183804923,0.142531956,0.132577239,0.094202899,0.124853458,0.080524345,0.184075968,0.087719298,0.157084189,0.085106383
21541,0.555555556,,0.5,0.15,1,0,0,,0.007963595,0.259615385,0.442922374,0.216666667,1,0.025785657,0.015384615,0.032476319,0.00462963,0.024144998,0.004537205,0.027490223,0.006128524,0.015252249,0,0.016998828,0,0.024835646,0,0.027720739,0.002364066
26723,0.041666667,1,1,0.05625,0.444444444,0,1,,0.023511566,0.682692308,0.98630137,0.76622807,1,0.078162772,0.184615385,0.054127199,0.101851852,0.005091584,0.014519056,0.004083276,0.006653826,0.00586625,0.014492754,0.002344666,0.014981273,0.002921841,0.035087719,0.002053388,0.009456265
12242,0.305555556,,1,0.40625,0,0,0,,0.179749716,1,0.397260274,0.63245614,1,0.052377115,0.015384615,0.064952639,0.00462963,0.009286538,0.001814882,0.010639522,0.000875503,0.007039499,0,0.005275498,0,0.011687363,0,0.007186858,0
24307,0.555555556,1,0.5,0.33125,0.444444444,0,1,0.104166667,0.0383011,0.682692308,0.269406393,0.036842105,1,0.033037873,0.046153846,0.01217862,0.069444444,0.028436019,0.036297641,0.011674718,0.055156715,0.045756746,0.057971014,0.010550996,0.073033708,0.044558072,0.01754386,0.006160164,0.06855792
