id,real_age,user_setage,playcard_level,label,add_under_setage_num,view_under_30_num,msg_under_30_num,gift_under_30_num,total_day,avg_early_hour,avg_last_hour
29798,0.210526316,1,0.013015184,1,0.016913319,0.004307663,0.004065041,0,0.166666667,0.670304348,0.739130435
17869,0.026315789,0,0.072668113,1,0.006342495,0.077968698,0.012820513,0.012329656,0.152777778,0.166,0.826086957
29353,0.289473684,0,0.031453362,1,0.088794926,0.133824726,0.03971232,0.0532122,0.361111111,0.125434783,0.966565217
16907,0.513157895,1,0.01626898,1,0.025369979,0.003733308,0.001876173,0.002595717,0.138888889,0.569565217,0.795652174
20844,0.039473684,,0.005422993,1,0,9.57E-05,0.000312695,0.000648929,0.013888889,0.782608696,0.826086957
24938,0.302631579,1,0.00867679,1,0.010570825,0.007466616,0.002501563,0.000648929,0.069444444,0.426086957,0.539130435
17376,0.421052632,1,0.031453362,1,0.00422833,0.000574355,0,0.002595717,0.041666667,0.724652174,0.782608696
16607,0.552631579,,0.030368764,1,0.014799154,0.054659455,0.009380863,0.022063595,0.097222222,0.074521739,0.925478261
15380,0.342105263,1,0,1,0.002114165,0,0,0,0.013888889,0,0.956521739
34062,0.315789474,,0.071583514,1,0.002114165,0.005264921,0.003126954,0.015574302,0.361111111,0.167217391,0.899652174
33494,0.513157895,1,0.005422993,1,0.025369979,0.000574355,0.002188868,0.003244646,0.055555556,0.695652174,0.695652174
11795,0.473684211,0,0.007592191,1,0.042283298,0.007179438,0.0068793,0.007138222,0.291666667,0.465826087,0.894391304
24702,0.223684211,1,0.042299349,1,0.090909091,0.029244244,0.011882427,0.00908501,0.111111111,0.266304348,0.831521739
23688,0.263157895,,0.002169197,1,0.00422833,4.79E-05,0.000312695,0,0.069444444,0.617391304,0.626086957
20554,0.394736842,0,0.085683297,1,0.073995772,0.103718949,0.041588493,0.107073329,0.513888889,0.039956522,0.944782609
31339,0.197368421,0,0.013015184,1,0.014799154,0.086966927,0.037210757,0.043478261,0.430555556,0.311347826,0.93126087
8652,0.197368421,,0.190889371,1,0.027484144,0.001340162,0.001250782,0.001297859,0,0,0
37035,0.315789474,,0.085683297,1,0.088794926,0.138275978,0.06504065,0.075924724,0.069444444,0.382608696,0.8
28335,0.25,0,0.005422993,1,0.021141649,0.021586177,0.009693558,0.038286827,0.416666667,0.339130435,0.785521739
26505,0.355263158,0,0.065075922,1,0.118393235,0.196525152,0.060350219,0.031797534,0.319444444,0.136086957,0.93573913
28568,0.263157895,0,0.010845987,1,0.019027484,0.06226966,0.041275797,0.070084361,0.388888889,0.147521739,0.930130435
19832,0.592105263,0,0.026030369,1,0.048625793,0.022399847,0.012820513,0.020116807,0.277777778,0.27173913,0.808695652
14528,0.5,0,0.022776573,1,0.021141649,0.178911597,0.076297686,0.06229721,0.319444444,0.156913043,0.964086957
30560,,,,1,0.031712474,0.166850141,0.037836148,0.042180402,0.333333333,0.204695652,0.934782609
27457,0.486842105,0,0.071583514,1,0.050739958,0.130522184,0.014071295,0.058403634,0.375,0.299521739,0.933956522
9996,0.671052632,0,0.042299349,1,0.002114165,0.010386254,0.013445904,0.022063595,0.138888889,0.195652174,0.895652174
16777,0.578947368,1,0.069414317,1,0.084566596,0.072608051,0.014071295,0.025957171,0.416666667,0.127521739,0.940565217
29705,0.368421053,,0.061822126,1,0.029598309,0.031015173,0.03220763,0.038286827,0.25,0.372,0.659434783
17210,0.565789474,1,0.079175705,1,0.00422833,0.051548365,0.015947467,0.022712524,0.5,0.260869565,0.938391304
9768,0.210526316,1,0.015184382,1,0.23255814,0.157708323,0.027517198,0.032446463,0.194444444,0.189434783,0.950304348
9573,0.671052632,1,0.006507592,1,0,0.001435888,0.002188868,0.000648929,0.013888889,0.652173913,0.652173913
24165,0.092105263,,0.067245119,1,0.044397463,0.030057914,0.013445904,0.042829332,0.222222222,0.133173913,0.964695652
21053,0.092105263,0,0.068329718,1,0.012684989,0.162159575,0.050343965,0.049318624,0.402777778,0.076478261,0.953521739
18914,0.592105263,0,0.065075922,1,0.00845666,0.196429426,0.067854909,0.082414017,0.444444444,0.017652174,0.972826087
30013,0.644736842,,0.02494577,1,0.00422833,0.023309242,0.010631645,0.03504218,0.222222222,0.135869565,0.796217391
29819,0.026315789,,0.007592191,1,0.029598309,0.085674628,0.009068168,0.06229721,0.458333333,0.303043478,0.895913043
35683,0.118421053,,0.001084599,1,,9.57E-05,0,0.001297859,0.027777778,0.739130435,0.913043478
31583,0.526315789,,0.035791757,1,0.040169133,0.04178433,0.018136335,0.048020766,0.138888889,0.391304348,0.913043478
9628,0.118421053,1,0.055314534,1,0.095137421,0.045086871,0.040337711,0.037637897,0.291666667,0.223608696,0.944086957
26270,0.118421053,1,0.017353579,1,0.012684989,0.052074858,0.013445904,0.01752109,0.375,0.169086957,0.813217391
14863,0.460526316,,0.046637744,1,0.019027484,0.00885464,0.005315822,0.016223232,0,0,0
21983,0.355263158,0,0.056399132,1,0.00845666,0.106207821,0.025953721,0.043478261,0.361111111,0.02173913,0.989956522
8340,0.25,0,0.077006508,1,0.00422833,0.05145264,0.015009381,0.062946139,0.444444444,0.067956522,0.981
25099,0.513157895,1,0.071583514,1,0.033826638,0.168573206,0.057848655,0.077222583,0.236111111,0.092086957,0.979521739
23962,0.289473684,,0.077006508,1,0.245243129,0.071411478,0.030644153,0.010382868,0.277777778,0.352173913,0.941304348
28847,0.184210526,0,0.071583514,1,0.181818182,0.092519026,0.031269543,0.025308241,0.430555556,0.225826087,0.973347826
8611,0.315789474,1,0.013015184,1,0.010570825,0.000526492,0,0,0.013888889,0.826086957,0.826086957
25247,0.486842105,1,0.0835141,1,0.040169133,0.033982674,0.02876798,0.077222583,0.388888889,0.099391304,0.950304348
30476,0.131578947,1,0.029284165,1,0.023255814,0.061025224,0.025953721,0.057105775,0.347222222,0.142608696,0.907826087
7485,0.421052632,,0.026030369,1,0.002114165,0.001052984,0.001563477,0.001946788,0.013888889,0.434782609,0.434782609
13259,0.302631579,,0.048806941,1,0.088794926,0.115971857,0.02876798,0.099286178,0.305555556,0.27273913,0.976304348
20326,0.131578947,,0.072668113,1,0.067653277,0.151486144,0.163852408,0.19467878,0.375,0.088565217,0.977434783
17269,0.026315789,0,0.070498915,1,0.006342495,0.115445364,0.051907442,0.107722258,0.388888889,0.034173913,0.906826087
10933,0.539473684,,0.002169197,1,0.00422833,0.000765807,0.002501563,0.007138222,0.041666667,0.826086957,0.869565217
34839,0.486842105,,0.001084599,1,,4.79E-05,0,0,0.013888889,0.086956522,0.130434783
19993,,,,1,0.114164905,0.114727421,0.043464665,0.015574302,0.388888889,0.166130435,0.958086957
22222,0.605263158,1,0.004338395,1,0.006342495,0.002536735,0.001876173,,0.013888889,0.434782609,0.913043478
34337,0.039473684,1,0.05856833,1,0.063424947,0.044991145,0.009693558,0.00843608,0.361111111,0.568565217,0.844478261
26468,0.065789474,1,0.019522777,1,0.023255814,0.006796535,0.005003127,0.019467878,0.25,0.39373913,0.688391304
8092,0.315789474,,0.042299349,1,0.124735729,0.007035849,0.0068793,0.012329656,0.152777778,0.205521739,0.944652174
32757,0.276315789,,0.013015184,1,0.016913319,0.00229742,0.000938086,0,0.055555556,0.565217391,0.684782609
30718,0.407894737,1,0.068329718,1,0.023255814,0.402383573,0.073483427,0.0798183,0.513888889,0.045826087,0.96826087
34224,0.486842105,,0.073752711,1,0.22832981,0.089982291,0.036898061,0.086956522,0.319444444,0.274086957,0.884695652
18098,0.197368421,1,0.013015184,1,0.044397463,0.005791413,0.010631645,0.016223232,0.041666667,0.666652174,0.811608696
36225,0.578947368,1,0.053145336,1,0.00422833,0.244292347,0.008442777,0.013627515,0.416666667,0.184043478,0.955086957
20388,0.236842105,0,0.096529284,1,0.065539112,0.009428995,0.003752345,0.00843608,0.263888889,0.567521739,0.686478261
21709,0.460526316,0,0.03362256,1,0.061310782,0.207820801,0.031894934,0.060999351,0.375,0.161043478,0.888869565
18352,0.368421053,,0.019522777,1,0.006342495,0.009476858,0.004065041,0.009733939,0.069444444,0.67826087,0.773913043
9342,0.092105263,0,0.085683297,1,0.067653277,0.530273297,0.19449656,0.173264114,0.361111111,0.120391304,0.974913043
22614,0.236842105,1,0.071583514,1,0.122621564,0.102330924,0.099124453,0.049318624,0.361111111,0.28426087,0.936434783
27561,0.065789474,,0.042299349,1,0.031712474,0.026755373,0.02188868,0.062946139,0.305555556,0.179826087,0.97826087
36877,0.197368421,1,0.015184382,1,0.006342495,0.003924759,0.000312695,0,0.069444444,0.130434783,0.991304348
8213,0.368421053,,0.006507592,1,0.088794926,0.035801465,0.033458412,0.057105775,0.333333333,0.192043478,0.916652174
15928,0.171052632,,0.069414317,1,0.00845666,0.080553295,0.03627267,0.103179753,0.097222222,0.136652174,0.968956522
12565,0.644736842,1,0.022776573,1,0.00845666,0.021873355,0.004690432,0.025308241,0.416666667,0.227521739,0.85073913
26487,0.052631579,0,0.127982646,1,0.021141649,0.048580864,0.043777361,0.074626866,0.444444444,0.061130435,0.972826087
34252,0.447368421,1,0.052060738,1,0.025369979,0.013545207,0.001876173,0.004542505,0.138888889,0.434782609,0.891304348
26516,0.552631579,1,0.078091106,1,0.128964059,0.098836931,0.019074422,0.010382868,0.402777778,0.292347826,0.973
18483,0.184210526,0,0.028199566,1,0.00845666,0.037715981,0.013445904,0.082414017,0.347222222,0.057391304,0.987826087
26260,0.421052632,0,0.004338395,1,0.025369979,0.000574355,0.000625391,0.002595717,0.083333333,0.398565217,0.797086957
25303,0.671052632,0,0.045553145,1,0.023255814,0.156320299,0.041275797,0.051265412,0.277777778,0.226086957,0.884782609
