,id,real_age,user_setage,gender,playcard_level,playcard_point,playcard_coupon_num,is_push_open,utm_channel,signup_day,app_version,manufacturer,model,label,add_all_num,add_under_18_num,add_under_30_num,add_under_setage_num,view_all_num,view_under_18_num,view_under_30_num,view_under_setage_num,msg_all_num,msg_under_18_num,msg_under_30_num,msg_under_setage_num,gift_all_num,gift_under_18_num,gift_under_30_num,gift_under_setage_num,total_day,work_day_rate,weekend_day_rate,avg_early_hour,avg_last_hour
id,1.0,0.007066963703467445,-0.0035160345271205208,-0.00255592728869424,-0.005856986789160534,0.009303419822565334,-7.837626161450213e-05,0.004554400591454032,0.006963025426172825,-0.007908074148462205,-0.0033825027995880957,-0.007994100898816003,0.006970657546726946,-0.00272057095597085,0.011434366603323216,0.009241749615420574,0.012177716948058985,0.00826298067913204,0.00260530993822501,0.004516321445287564,0.002771225213896992,0.0034145387533737514,0.002927846053971021,1.2099483848432429e-05,0.003411535269676091,0.0029965572365153884,-0.0042354839855371276,-0.004169514791956643,-0.0038961183745065014,-0.0068485332428711125,-0.3498468612630725,0.001438400077429284,-0.006533530873926486,-0.008778566114818542,0.010221116064025045
real_age,0.007066963703467445,1.0,0.31735825385790395,0.08908308321260307,-0.06694368673628638,-0.0013909163106026036,-0.03231465895039108,-0.02582245900281226,-0.0009965301246312734,-0.12965410381599862,-0.04791663408992098,0.03086685289428309,0.00970822381954697,0.27875347726927585,0.048565217131345394,0.06037361285169433,-0.018067753956707115,0.10845748185510605,-0.08181172045975488,-0.062439157480614106,-0.1348554670054296,-0.004323700574745035,-0.002572271636505906,0.014697662239396347,-0.10553052082823478,0.07323647067061367,-0.053777759140728465,-0.010979381398516766,-0.15484990591708564,0.05798741615187311,-0.07400563179870957,-0.038008497377656436,0.007893367158218813,0.12049702968517326,-0.06365309703422532
user_setage,-0.0035160345271205208,0.31735825385790395,1.0,0.13459201930278578,-0.15446720316172502,-0.00032312170106038807,-0.1498940854860174,0.047102842573894514,-0.16080011149192305,-0.24733772513813793,-0.0872966609398202,0.012376555459333343,0.019632418321133754,0.332738269204347,0.16904481974084032,0.2434357866400668,0.07434208493113566,0.3072261463466789,0.04935087260607288,0.16392998647082216,-0.03796186531100404,0.22582819054071437,0.09117519788269719,0.20937098352299136,-0.06307642848649964,0.2875772597299899,-0.032969805073155396,0.1226977840487548,-0.17288866118687957,0.2262722614465197,-0.12306238719480757,-0.05172430627220352,0.04191594265792142,0.2412591456886491,-0.1351309375569211
gender,-0.00255592728869424,0.08908308321260307,0.13459201930278578,1.0,0.04614542598419968,0.00033233022515155445,-0.048168510851055606,-0.08193331670623155,-0.03468439255427054,0.04667866681680397,0.031350781318886606,-0.041288552164723276,0.017006166958167958,0.060457933413867154,-0.002896657978837201,-0.045892923443685354,-0.004867239969706452,-0.043475960261098935,0.03579908289027379,-0.019962565405478992,0.04669876201106705,-0.043480187271240534,0.05056880965668061,-0.055958881713563786,0.0633418514028154,-0.04652246383778483,-0.0003023391095683179,-0.03443730354092077,-0.013167035004406752,-0.016912321263683982,0.04455291352795655,0.0033531542630563667,0.012983020949251677,0.031122313407648216,0.02502954177017535
playcard_level,-0.005856986789160534,-0.06694368673628638,-0.15446720316172502,0.04614542598419968,1.0,0.005033406382813203,0.012532000112813243,0.026273667222806187,0.07711568210262365,0.15034531639880805,0.2754455169157446,-0.002544101045321226,-0.002507168486043775,-0.16075784886638964,0.32752728796477487,0.15762481564254632,0.3493158544246283,0.18222970644885095,0.37947755662088367,0.30478909575663277,0.3943696933549471,0.30328911856015806,0.39472696408744695,0.21663633097337345,0.4209763659994964,0.23350799995761462,0.44211311559912764,0.25695633259829237,0.4554480563862529,0.2827378276571145,0.28134268213169616,0.04184543894496838,0.03702924294192673,-0.3316743095226932,0.40647217421632964
playcard_point,0.009303419822565334,-0.0013909163106026036,-0.00032312170106038807,0.00033233022515155445,0.005033406382813203,1.0,-0.0017376245328722553,0.006385093793807042,0.0012803219502605238,0.0052260315017945745,0.014848629547084203,0.0027016473804154315,0.005363446918672298,-0.005042422148591097,-0.008750301235384951,-0.0079649345785608,-0.005848890281142733,-0.010826977900243348,0.007274281453287717,0.006414990577837367,0.008659466106087844,0.004135170599959945,-0.004974741508045944,-0.004546074854722403,-0.0019648991882204305,-0.008153978489436676,0.007645045133786915,0.00910172122002097,0.010752808626126277,0.0026139099761119423,0.0027990705938318113,-0.005536357605178055,0.0031420311041538375,-0.011116792382830957,0.007049887308141281
playcard_coupon_num,-7.837626161450213e-05,-0.03231465895039108,-0.1498940854860174,-0.048168510851055606,0.012532000112813243,-0.0017376245328722553,1.0,-0.02721868282283689,0.09546768682139939,0.0202780454237095,0.04378387666058,0.016571098583811398,-0.02527786824973889,-0.07152435326446781,-0.12354796183419021,-0.14364848966168678,-0.09739926268700574,-0.1702301446605127,-0.11542449184803696,-0.15684963497627688,-0.08937328874057306,-0.1667027408665669,-0.07962307371551708,-0.12856391854880075,-0.036788249656284154,-0.14424977735296254,0.0018847403327762777,-0.07025776723871141,0.04083064742576393,-0.09401294974576231,0.03262089411667784,0.0114044576371219,-0.006209225047166145,-0.08076881545763889,0.0493567533130751
is_push_open,0.004554400591454032,-0.02582245900281226,0.047102842573894514,-0.08193331670623155,0.026273667222806187,0.006385093793807042,-0.02721868282283689,1.0,-0.04282175067887508,-0.025787073508516334,-0.049014377389677365,0.041621108696379645,-0.006977234323893798,0.031324938486124616,0.07141092114649794,0.09639272514154774,0.0596482079368294,0.10278396684817688,0.06996316069713053,0.10926403112683454,0.05533231964166432,0.11433143546903209,0.06208369669069486,0.10561930789733308,0.04045811431074708,0.11076335190423142,0.027951243670182545,0.07030952962277726,0.013927627057633426,0.07469264810756494,-0.003153240296035751,-0.008157291689765004,0.015107703016467673,0.004514214117516025,0.009860170178830533
utm_channel,0.006963025426172825,-0.0009965301246312734,-0.16080011149192305,-0.03468439255427054,0.07711568210262365,0.0012803219502605238,0.09546768682139939,-0.04282175067887508,1.0,0.2600591395479324,0.10283196305197782,-0.0036395876796829246,-0.012797408867817502,-0.09982188635835959,-0.06509632802748516,-0.11104057267395694,-0.035243672129094565,-0.13705096765118865,-0.018431276464552858,-0.08979670270496903,0.01218864245024127,-0.1125931727454128,-0.036984291697235515,-0.1104632745206815,0.012737007267617506,-0.14173634912283226,0.0382201400017825,-0.07005790864291128,0.07695285003163099,-0.09900361517531417,0.08257370427744277,0.03530012724957575,-0.02245697619168914,-0.12736052324503153,0.1071947897567003
signup_day,-0.007908074148462205,-0.12965410381599862,-0.24733772513813793,0.04667866681680397,0.15034531639880805,0.0052260315017945745,0.0202780454237095,-0.025787073508516334,0.2600591395479324,1.0,0.054843569797852904,-0.009323283871969458,0.0022080851233770593,-0.0864594712478349,-0.0268922701071059,-0.07429950406095369,0.004900104070371337,-0.09792129465785622,0.17289444863845024,0.0912308931409766,0.21108780916535616,0.03930739682663425,0.07955896896189513,-0.010588105864904655,0.14479732484185276,-0.06793416616709878,0.05559873770863755,-0.03511432204386507,0.10748524499165636,-0.08501978683396097,0.28883884148843975,0.07837034315031216,0.03448785380585033,-0.07904214741301203,0.17233604191046015
